model,case_id,statement_idx,predicted_verdict,golden_verdict
LLaDA2.1-mini,F20,4,1,1
LLaDA2.1-mini,F20,5,1,1
LLaDA2.1-mini,F20,6,1,1
LLaDA2.1-mini,F20,7,1,1
LLaDA2.1-mini,F20,8,1,1
LLaDA2.1-mini,F20,9,1,1
LLaDA2.1-mini,F20,10,1,1
LLaDA2.1-mini,F21,0,1,1
LLaDA2.1-mini,F21,1,1,1
LLaDA2.1-mini,F21,2,1,1
LLaDA2.1-mini,F21,3,1,1
LLaDA2.1-mini,F21,4,1,1
LLaDA2.1-mini,F21,5,0,0
LLaDA2.1-mini,F21,6,0,0
LLaDA2.1-mini,F22,0,1,1
LLaDA2.1-mini,F22,1,1,1
LLaDA2.1-mini,F22,2,0,0
LLaDA2.1-mini,F22,3,0,0
LLaDA2.1-mini,F22,4,0,0
LLaDA2.1-mini,F22,5,0,0
LLaDA2.1-mini,F23,0,1,1
LLaDA2.1-mini,F23,1,1,1
LLaDA2.1-mini,F23,2,1,1
LLaDA2.1-mini,F23,3,1,1
LLaDA2.1-mini,F23,4,1,1
LLaDA2.1-mini,F23,5,0,0
LLaDA2.1-mini,F23,6,0,0
LLaDA2.1-mini,F25,0,1,1
LLaDA2.1-mini,F25,1,1,1
LLaDA2.1-mini,F25,2,1,1
LLaDA2.1-mini,F25,3,1,1
LLaDA2.1-mini,F25,4,1,1
LLaDA2.1-mini,F25,5,0,0
LLaDA2.1-mini,F25,6,0,0
LLaDA2.1-mini,F26,0,0,0
LLaDA2.1-mini,F26,1,0,0
LLaDA2.1-mini,F26,2,0,0
LLaDA2.1-mini,F26,3,0,0
LLaDA2.1-mini,F26,4,0,0
LLaDA2.1-mini,F26,5,0,0
LLaDA2.1-mini,F27,0,1,0
LLaDA2.1-mini,F27,1,0,0
LLaDA2.1-mini,F27,2,0,0
LLaDA2.1-mini,F27,3,0,0
LLaDA2.1-mini,F27,4,0,0
LLaDA2.1-mini,F27,5,0,0
LLaDA2.1-mini,F27,6,0,0
LLaDA2.1-mini,F28,0,0,0
LLaDA2.1-mini,F28,1,0,0
LLaDA2.1-mini,F28,2,0,0
LLaDA2.1-mini,F28,3,0,0
LLaDA2.1-mini,F28,4,0,0
LLaDA2.1-mini,F28,5,0,0
LLaDA2.1-mini,F29,0,0,0
LLaDA2.1-mini,F29,1,0,0
LLaDA2.1-mini,F29,2,0,0
LLaDA2.1-mini,F29,3,0,0
LLaDA2.1-mini,F29,4,0,0
LLaDA2.1-mini,F29,5,0,0
LLaDA2.1-mini,F31,0,1,1
LLaDA2.1-mini,F31,1,1,1
LLaDA2.1-mini,F31,2,1,1
LLaDA2.1-mini,F31,3,1,1
LLaDA2.1-mini,F31,4,1,1
LLaDA2.1-mini,F31,5,1,1
LLaDA2.1-mini,F31,6,1,1
LLaDA2.1-mini,F31,7,1,1
LLaDA2.1-mini,F31,8,1,1
LLaDA2.1-mini,F31,9,1,1
LLaDA2.1-mini,F31,10,1,1
LLaDA2.1-mini,F31,11,1,1
LLaDA2.1-mini,F31,12,1,1
LLaDA2.1-mini,F31,13,1,1
LLaDA2.1-mini,F31,14,1,1
LLaDA2.1-mini,F31,15,1,1
LLaDA2.1-mini,F31,16,1,1
LLaDA2.1-mini,F31,17,1,1
LLaDA2.1-mini,F32,0,1,1
LLaDA2.1-mini,F32,1,1,1
LLaDA2.1-mini,F32,2,1,1
LLaDA2.1-mini,F32,3,1,1
LLaDA2.1-mini,F32,4,1,1
LLaDA2.1-mini,F32,5,1,1
LLaDA2.1-mini,F32,6,1,1
LLaDA2.1-mini,F32,7,1,1
LLaDA2.1-mini,F32,8,1,1
LLaDA2.1-mini,F32,9,1,1
LLaDA2.1-mini,F32,10,1,1
LLaDA2.1-mini,F32,11,1,1
LLaDA2.1-mini,F32,12,1,1
LLaDA2.1-mini,F32,13,1,1
LLaDA2.1-mini,F32,14,1,1
LLaDA2.1-mini,F32,15,1,1
LLaDA2.1-mini,F33,0,1,1
LLaDA2.1-mini,F33,1,1,1
LLaDA2.1-mini,F33,2,1,1
LLaDA2.1-mini,F33,3,1,1
LLaDA2.1-mini,F33,4,1,1
LLaDA2.1-mini,F33,5,1,1
LLaDA2.1-mini,F33,6,1,1
LLaDA2.1-mini,F33,7,1,1
LLaDA2.1-mini,F33,8,1,1
LLaDA2.1-mini,F33,9,1,1
LLaDA2.1-mini,F33,10,1,1
LLaDA2.1-mini,F34,0,1,1
LLaDA2.1-mini,F34,1,1,1
LLaDA2.1-mini,F34,2,1,1
LLaDA2.1-mini,F34,3,1,1
LLaDA2.1-mini,F34,4,1,1
LLaDA2.1-mini,F34,5,1,1
LLaDA2.1-mini,F34,6,1,1
LLaDA2.1-mini,F34,7,1,1
LLaDA2.1-mini,F34,8,1,1
LLaDA2.1-mini,F34,9,1,1
LLaDA2.1-mini,F34,10,1,1
LLaDA2.1-mini,F34,11,1,1
LLaDA2.1-mini,F34,12,1,1
LLaDA2.1-mini,F35,0,1,1
LLaDA2.1-mini,F35,1,1,1
LLaDA2.1-mini,F35,2,1,1
LLaDA2.1-mini,F35,3,0,1
LLaDA2.1-mini,F35,4,1,1
LLaDA2.1-mini,F35,5,1,1
LLaDA2.1-mini,F35,6,1,1
LLaDA2.1-mini,F35,7,1,1
LLaDA2.1-mini,F35,8,1,1
LLaDA2.1-mini,F36,0,1,1
LLaDA2.1-mini,F36,1,1,1
LLaDA2.1-mini,F36,2,1,1
LLaDA2.1-mini,F36,3,1,1
LLaDA2.1-mini,F36,4,1,1
LLaDA2.1-mini,F36,5,1,1
LLaDA2.1-mini,F36,6,1,1
LLaDA2.1-mini,F36,7,1,1
LLaDA2.1-mini,F36,8,1,1
LLaDA2.1-mini,F36,9,1,0
LLaDA2.1-mini,F36,10,0,0
LLaDA2.1-mini,F36,11,0,0
LLaDA2.1-mini,F36,12,0,0
LLaDA2.1-mini,F36,13,0,0
LLaDA2.1-mini,F37,0,1,1
LLaDA2.1-mini,F37,1,0,0
LLaDA2.1-mini,F37,2,1,0
LLaDA2.1-mini,F37,3,1,1
LLaDA2.1-mini,F37,4,1,1
LLaDA2.1-mini,F37,5,1,1
LLaDA2.1-mini,F37,6,1,0
LLaDA2.1-mini,F37,7,0,0
LLaDA2.1-mini,F37,8,0,0
LLaDA2.1-mini,F37,9,0,0
LLaDA2.1-mini,F37,10,0,0
LLaDA2.1-mini,F37,11,0,0
LLaDA2.1-mini,F38,0,1,1
LLaDA2.1-mini,F38,1,1,1
LLaDA2.1-mini,F38,2,0,1
LLaDA2.1-mini,F38,3,1,1
LLaDA2.1-mini,F38,4,1,1
LLaDA2.1-mini,F38,5,0,0
LLaDA2.1-mini,F38,6,1,1
LLaDA2.1-mini,F38,7,1,1
LLaDA2.1-mini,F38,8,0,0
LLaDA2.1-mini,F38,9,0,0
LLaDA2.1-mini,F38,10,0,0
LLaDA2.1-mini,F38,11,1,0
LLaDA2.1-mini,F39,0,1,1
LLaDA2.1-mini,F39,1,1,1
LLaDA2.1-mini,F39,2,1,1
LLaDA2.1-mini,F39,3,1,1
LLaDA2.1-mini,F39,4,1,1
LLaDA2.1-mini,F39,5,1,1
LLaDA2.1-mini,F39,6,1,1
LLaDA2.1-mini,F39,7,1,1
LLaDA2.1-mini,F39,8,1,0
LLaDA2.1-mini,F39,9,0,0
LLaDA2.1-mini,F39,10,0,0
LLaDA2.1-mini,F39,11,0,0
LLaDA2.1-mini,F39,12,0,0
LLaDA2.1-mini,F40,0,1,1
LLaDA2.1-mini,F40,1,1,1
LLaDA2.1-mini,F40,2,1,1
LLaDA2.1-mini,F40,3,1,1
LLaDA2.1-mini,F40,4,1,1
LLaDA2.1-mini,F40,5,1,1
LLaDA2.1-mini,F40,6,1,1
LLaDA2.1-mini,F40,7,1,1
LLaDA2.1-mini,F40,8,1,1
LLaDA2.1-mini,F40,9,1,1
LLaDA2.1-mini,F40,10,1,1
LLaDA2.1-mini,F40,11,1,1
LLaDA2.1-mini,F40,12,0,0
LLaDA2.1-mini,F40,13,0,0
LLaDA2.1-mini,F40,14,0,0
LLaDA2.1-mini,F40,15,0,0
LLaDA2.1-mini,F40,16,0,0
LLaDA2.1-mini,F40,17,0,0
LLaDA2.1-mini,F41,0,0,0
LLaDA2.1-mini,F41,1,0,0
LLaDA2.1-mini,F41,2,0,0
LLaDA2.1-mini,F41,3,0,0
LLaDA2.1-mini,F41,4,0,0
LLaDA2.1-mini,F41,5,0,0
LLaDA2.1-mini,F41,6,0,0
LLaDA2.1-mini,F41,7,0,0
LLaDA2.1-mini,F41,8,0,0
LLaDA2.1-mini,F41,9,0,0
LLaDA2.1-mini,F41,10,0,0
LLaDA2.1-mini,F41,11,0,0
LLaDA2.1-mini,F41,12,0,0
LLaDA2.1-mini,F41,13,0,0
LLaDA2.1-mini,F42,0,0,0
LLaDA2.1-mini,F42,1,0,0
LLaDA2.1-mini,F42,2,0,0
LLaDA2.1-mini,F42,3,0,0
LLaDA2.1-mini,F42,4,0,0
LLaDA2.1-mini,F42,5,0,0
LLaDA2.1-mini,F42,6,0,0
LLaDA2.1-mini,F42,7,0,0
LLaDA2.1-mini,F42,8,0,0
LLaDA2.1-mini,F42,9,0,0
LLaDA2.1-mini,F42,10,0,0
LLaDA2.1-mini,F42,11,0,0
LLaDA2.1-mini,F42,12,0,0
LLaDA2.1-mini,F43,0,0,0
LLaDA2.1-mini,F43,1,0,0
LLaDA2.1-mini,F43,2,0,0
LLaDA2.1-mini,F43,3,0,0
LLaDA2.1-mini,F43,4,0,0
LLaDA2.1-mini,F43,5,0,0
LLaDA2.1-mini,F43,6,0,0
LLaDA2.1-mini,F43,7,0,0
LLaDA2.1-mini,F43,8,0,0
LLaDA2.1-mini,F43,9,0,0
LLaDA2.1-mini,F43,10,0,0
LLaDA2.1-mini,F43,11,0,0
LLaDA2.1-mini,F43,12,0,0
LLaDA2.1-mini,F43,13,0,0
LLaDA2.1-mini,F44,0,0,0
LLaDA2.1-mini,F44,1,0,0
LLaDA2.1-mini,F44,2,0,0
LLaDA2.1-mini,F44,3,0,0
LLaDA2.1-mini,F44,4,1,0
LLaDA2.1-mini,F44,5,0,0
LLaDA2.1-mini,F44,6,1,0
LLaDA2.1-mini,F44,7,0,0
LLaDA2.1-mini,F44,8,0,0
LLaDA2.1-mini,F44,9,1,0
LLaDA2.1-mini,F45,0,0,0
LLaDA2.1-mini,F45,1,0,0
LLaDA2.1-mini,F45,2,0,0
LLaDA2.1-mini,F45,3,0,0
LLaDA2.1-mini,F45,4,0,0
LLaDA2.1-mini,F45,5,0,0
LLaDA2.1-mini,F45,6,0,0
LLaDA2.1-mini,F45,7,0,0
LLaDA2.1-mini,F45,8,0,0
LLaDA2.1-mini,F45,9,0,0
LLaDA2.1-mini,F45,10,0,0
Qwen3.6-35B-A3B-FP8,F1,0,1,1
Qwen3.6-35B-A3B-FP8,F1,1,1,1
Qwen3.6-35B-A3B-FP8,F2,0,1,1
Qwen3.6-35B-A3B-FP8,F2,1,1,1
Qwen3.6-35B-A3B-FP8,F2,2,1,1
Qwen3.6-35B-A3B-FP8,F3,0,1,1
Qwen3.6-35B-A3B-FP8,F3,1,1,1
Qwen3.6-35B-A3B-FP8,F4,0,1,1
Qwen3.6-35B-A3B-FP8,F4,1,1,1
Qwen3.6-35B-A3B-FP8,F5,0,1,1
Qwen3.6-35B-A3B-FP8,F5,1,1,1
Qwen3.6-35B-A3B-FP8,F6,0,1,1
Qwen3.6-35B-A3B-FP8,F6,1,0,0
Qwen3.6-35B-A3B-FP8,F7,0,1,1
Qwen3.6-35B-A3B-FP8,F7,1,1,1
Qwen3.6-35B-A3B-FP8,F7,2,0,0
Qwen3.6-35B-A3B-FP8,F8,0,1,1
Qwen3.6-35B-A3B-FP8,F8,1,0,0
Qwen3.6-35B-A3B-FP8,F9,0,1,1
Qwen3.6-35B-A3B-FP8,F9,1,1,1
Qwen3.6-35B-A3B-FP8,F9,2,0,0
Qwen3.6-35B-A3B-FP8,F10,0,1,1
Qwen3.6-35B-A3B-FP8,F10,1,0,0
Qwen3.6-35B-A3B-FP8,F11,0,0,0
Qwen3.6-35B-A3B-FP8,F11,1,0,0
Qwen3.6-35B-A3B-FP8,F12,0,0,0
Qwen3.6-35B-A3B-FP8,F12,1,0,0
Qwen3.6-35B-A3B-FP8,F13,0,0,0
Qwen3.6-35B-A3B-FP8,F13,1,0,0
Qwen3.6-35B-A3B-FP8,F14,0,0,0
Qwen3.6-35B-A3B-FP8,F14,1,0,0
Qwen3.6-35B-A3B-FP8,F14,2,0,0
Qwen3.6-35B-A3B-FP8,F15,0,0,0
Qwen3.6-35B-A3B-FP8,F15,1,0,0
Qwen3.6-35B-A3B-FP8,F16,0,1,1
Qwen3.6-35B-A3B-FP8,F16,1,1,1
Qwen3.6-35B-A3B-FP8,F16,2,1,1
Qwen3.6-35B-A3B-FP8,F16,3,1,1
Qwen3.6-35B-A3B-FP8,F16,4,1,1
Qwen3.6-35B-A3B-FP8,F16,5,1,1
Qwen3.6-35B-A3B-FP8,F16,6,1,1
Qwen3.6-35B-A3B-FP8,F16,7,1,1
Qwen3.6-35B-A3B-FP8,F17,0,1,1
Qwen3.6-35B-A3B-FP8,F17,1,1,1
Qwen3.6-35B-A3B-FP8,F17,2,1,1
Qwen3.6-35B-A3B-FP8,F17,3,1,1
Qwen3.6-35B-A3B-FP8,F17,4,1,1
Qwen3.6-35B-A3B-FP8,F17,5,1,1
Qwen3.6-35B-A3B-FP8,F17,6,1,1
Qwen3.6-35B-A3B-FP8,F17,7,1,1
Qwen3.6-35B-A3B-FP8,F17,8,1,1
Qwen3.6-35B-A3B-FP8,F18,0,1,1
Qwen3.6-35B-A3B-FP8,F18,1,1,1
Qwen3.6-35B-A3B-FP8,F18,2,1,1
Qwen3.6-35B-A3B-FP8,F18,3,1,1
Qwen3.6-35B-A3B-FP8,F18,4,1,1
Qwen3.6-35B-A3B-FP8,F18,5,1,1
Qwen3.6-35B-A3B-FP8,F18,6,1,1
Qwen3.6-35B-A3B-FP8,F18,7,1,1
Qwen3.6-35B-A3B-FP8,F18,8,1,1
Qwen3.6-35B-A3B-FP8,F18,9,1,1
Qwen3.6-35B-A3B-FP8,F18,10,1,1
Qwen3.6-35B-A3B-FP8,F18,11,1,1
Qwen3.6-35B-A3B-FP8,F19,0,1,1
Qwen3.6-35B-A3B-FP8,F19,1,1,1
Qwen3.6-35B-A3B-FP8,F19,2,1,1
Qwen3.6-35B-A3B-FP8,F19,3,1,1
Qwen3.6-35B-A3B-FP8,F19,4,1,1
Qwen3.6-35B-A3B-FP8,F19,5,1,1
Qwen3.6-35B-A3B-FP8,F19,6,1,1
Qwen3.6-35B-A3B-FP8,F19,7,1,1
Qwen3.6-35B-A3B-FP8,F20,0,1,1
Qwen3.6-35B-A3B-FP8,F20,1,1,1
Qwen3.6-35B-A3B-FP8,F20,2,1,1
Qwen3.6-35B-A3B-FP8,F20,3,1,1
Qwen3.6-35B-A3B-FP8,F20,4,1,1
Qwen3.6-35B-A3B-FP8,F20,5,1,1
Qwen3.6-35B-A3B-FP8,F20,6,1,1
Qwen3.6-35B-A3B-FP8,F20,7,1,1
Qwen3.6-35B-A3B-FP8,F20,8,1,1
Qwen3.6-35B-A3B-FP8,F20,9,1,1
Qwen3.6-35B-A3B-FP8,F20,10,1,1
Qwen3.6-35B-A3B-FP8,F21,0,1,1
Qwen3.6-35B-A3B-FP8,F21,1,1,1
Qwen3.6-35B-A3B-FP8,F21,2,1,1
Qwen3.6-35B-A3B-FP8,F21,3,1,1
Qwen3.6-35B-A3B-FP8,F21,4,1,1
Qwen3.6-35B-A3B-FP8,F21,5,0,0
Qwen3.6-35B-A3B-FP8,F21,6,0,0
Qwen3.6-35B-A3B-FP8,F22,0,1,1
Qwen3.6-35B-A3B-FP8,F22,1,1,1
Qwen3.6-35B-A3B-FP8,F22,2,0,0
Qwen3.6-35B-A3B-FP8,F22,3,0,0
Qwen3.6-35B-A3B-FP8,F22,4,0,0
Qwen3.6-35B-A3B-FP8,F22,5,0,0
Qwen3.6-35B-A3B-FP8,F23,0,1,1
Qwen3.6-35B-A3B-FP8,F23,1,1,1
Qwen3.6-35B-A3B-FP8,F23,2,1,1
Qwen3.6-35B-A3B-FP8,F23,3,1,1
Qwen3.6-35B-A3B-FP8,F23,4,1,1
Qwen3.6-35B-A3B-FP8,F23,5,0,0
Qwen3.6-35B-A3B-FP8,F23,6,0,0
Qwen3.6-35B-A3B-FP8,F24,0,1,1
Qwen3.6-35B-A3B-FP8,F24,1,1,1
Qwen3.6-35B-A3B-FP8,F24,2,1,1
Qwen3.6-35B-A3B-FP8,F24,3,1,1
Qwen3.6-35B-A3B-FP8,F24,4,1,1
Qwen3.6-35B-A3B-FP8,F24,5,0,0
Qwen3.6-35B-A3B-FP8,F24,6,1,1
Qwen3.6-35B-A3B-FP8,F24,7,1,1
Qwen3.6-35B-A3B-FP8,F25,0,1,1
Qwen3.6-35B-A3B-FP8,F25,1,1,1
Qwen3.6-35B-A3B-FP8,F25,2,1,1
Qwen3.6-35B-A3B-FP8,F25,3,1,1
Qwen3.6-35B-A3B-FP8,F25,4,1,1
Qwen3.6-35B-A3B-FP8,F25,5,0,0
Qwen3.6-35B-A3B-FP8,F25,6,0,0
Qwen3.6-35B-A3B-FP8,F26,0,0,0
Qwen3.6-35B-A3B-FP8,F26,1,0,0
Qwen3.6-35B-A3B-FP8,F26,2,0,0
Qwen3.6-35B-A3B-FP8,F26,3,0,0
Qwen3.6-35B-A3B-FP8,F26,4,0,0
Qwen3.6-35B-A3B-FP8,F26,5,0,0
Qwen3.6-35B-A3B-FP8,F27,0,0,0
Qwen3.6-35B-A3B-FP8,F27,1,0,0
Qwen3.6-35B-A3B-FP8,F27,2,0,0
Qwen3.6-35B-A3B-FP8,F27,3,0,0
Qwen3.6-35B-A3B-FP8,F27,4,0,0
Qwen3.6-35B-A3B-FP8,F27,5,0,0
Qwen3.6-35B-A3B-FP8,F27,6,0,0
Qwen3.6-35B-A3B-FP8,F28,0,0,0
Qwen3.6-35B-A3B-FP8,F28,1,0,0
Qwen3.6-35B-A3B-FP8,F28,2,0,0
Qwen3.6-35B-A3B-FP8,F28,3,0,0
Qwen3.6-35B-A3B-FP8,F28,4,0,0
Qwen3.6-35B-A3B-FP8,F28,5,0,0
Qwen3.6-35B-A3B-FP8,F29,0,0,0
Qwen3.6-35B-A3B-FP8,F29,1,0,0
Qwen3.6-35B-A3B-FP8,F29,2,0,0
Qwen3.6-35B-A3B-FP8,F29,3,0,0
Qwen3.6-35B-A3B-FP8,F29,4,0,0
Qwen3.6-35B-A3B-FP8,F29,5,0,0
Qwen3.6-35B-A3B-FP8,F30,0,0,0
Qwen3.6-35B-A3B-FP8,F30,1,0,0
Qwen3.6-35B-A3B-FP8,F30,2,0,0
Qwen3.6-35B-A3B-FP8,F30,3,0,0
Qwen3.6-35B-A3B-FP8,F30,4,0,0
Qwen3.6-35B-A3B-FP8,F30,5,0,0
Qwen3.6-35B-A3B-FP8,F31,0,1,1
Qwen3.6-35B-A3B-FP8,F31,1,1,1
Qwen3.6-35B-A3B-FP8,F31,2,1,1
Qwen3.6-35B-A3B-FP8,F31,3,1,1
Qwen3.6-35B-A3B-FP8,F31,4,1,1
Qwen3.6-35B-A3B-FP8,F31,5,1,1
Qwen3.6-35B-A3B-FP8,F31,6,1,1
Qwen3.6-35B-A3B-FP8,F31,7,1,1
Qwen3.6-35B-A3B-FP8,F31,8,1,1
Qwen3.6-35B-A3B-FP8,F31,9,1,1
Qwen3.6-35B-A3B-FP8,F31,10,1,1
Qwen3.6-35B-A3B-FP8,F31,11,0,1
Qwen3.6-35B-A3B-FP8,F31,12,1,1
Qwen3.6-35B-A3B-FP8,F31,13,1,1
Qwen3.6-35B-A3B-FP8,F31,14,1,1
Qwen3.6-35B-A3B-FP8,F31,15,1,1
Qwen3.6-35B-A3B-FP8,F31,16,1,1
Qwen3.6-35B-A3B-FP8,F31,17,1,1
Qwen3.6-35B-A3B-FP8,F32,0,1,1
Qwen3.6-35B-A3B-FP8,F32,1,1,1
Qwen3.6-35B-A3B-FP8,F32,2,1,1
Qwen3.6-35B-A3B-FP8,F32,3,1,1
Qwen3.6-35B-A3B-FP8,F32,4,1,1
Qwen3.6-35B-A3B-FP8,F32,5,1,1
Qwen3.6-35B-A3B-FP8,F32,6,1,1
Qwen3.6-35B-A3B-FP8,F32,7,1,1
Qwen3.6-35B-A3B-FP8,F32,8,1,1
Qwen3.6-35B-A3B-FP8,F32,9,1,1
Qwen3.6-35B-A3B-FP8,F32,10,1,1
Qwen3.6-35B-A3B-FP8,F32,11,1,1
Qwen3.6-35B-A3B-FP8,F32,12,1,1
Qwen3.6-35B-A3B-FP8,F32,13,1,1
Qwen3.6-35B-A3B-FP8,F32,14,1,1
Qwen3.6-35B-A3B-FP8,F32,15,1,1
Qwen3.6-35B-A3B-FP8,F33,0,1,1
Qwen3.6-35B-A3B-FP8,F33,1,1,1
Qwen3.6-35B-A3B-FP8,F33,2,1,1
Qwen3.6-35B-A3B-FP8,F33,3,1,1
Qwen3.6-35B-A3B-FP8,F33,4,1,1
Qwen3.6-35B-A3B-FP8,F33,5,1,1
Qwen3.6-35B-A3B-FP8,F33,6,1,1
Qwen3.6-35B-A3B-FP8,F33,7,1,1
Qwen3.6-35B-A3B-FP8,F33,8,1,1
Qwen3.6-35B-A3B-FP8,F33,9,1,1
Qwen3.6-35B-A3B-FP8,F33,10,1,1
Qwen3.6-35B-A3B-FP8,F34,0,1,1
Qwen3.6-35B-A3B-FP8,F34,1,1,1
Qwen3.6-35B-A3B-FP8,F34,2,1,1
Qwen3.6-35B-A3B-FP8,F34,3,1,1
Qwen3.6-35B-A3B-FP8,F34,4,1,1
Qwen3.6-35B-A3B-FP8,F34,5,1,1
Qwen3.6-35B-A3B-FP8,F34,6,1,1
Qwen3.6-35B-A3B-FP8,F34,7,1,1
Qwen3.6-35B-A3B-FP8,F34,8,1,1
Qwen3.6-35B-A3B-FP8,F34,9,1,1
Qwen3.6-35B-A3B-FP8,F34,10,1,1
Qwen3.6-35B-A3B-FP8,F34,11,1,1
Qwen3.6-35B-A3B-FP8,F34,12,1,1
Qwen3.6-35B-A3B-FP8,F35,0,1,1
Qwen3.6-35B-A3B-FP8,F35,1,1,1
Qwen3.6-35B-A3B-FP8,F35,2,1,1
Qwen3.6-35B-A3B-FP8,F35,3,1,1
Qwen3.6-35B-A3B-FP8,F35,4,1,1
Qwen3.6-35B-A3B-FP8,F35,5,1,1
Qwen3.6-35B-A3B-FP8,F35,6,1,1
Qwen3.6-35B-A3B-FP8,F35,7,1,1
Qwen3.6-35B-A3B-FP8,F35,8,1,1
Qwen3.6-35B-A3B-FP8,F36,0,1,1
Qwen3.6-35B-A3B-FP8,F36,1,1,1
Qwen3.6-35B-A3B-FP8,F36,2,1,1
Qwen3.6-35B-A3B-FP8,F36,3,1,1
Qwen3.6-35B-A3B-FP8,F36,4,1,1
Qwen3.6-35B-A3B-FP8,F36,5,1,1
Qwen3.6-35B-A3B-FP8,F36,6,1,1
Qwen3.6-35B-A3B-FP8,F36,7,1,1
Qwen3.6-35B-A3B-FP8,F36,8,1,1
Qwen3.6-35B-A3B-FP8,F36,9,0,0
Qwen3.6-35B-A3B-FP8,F36,10,0,0
Qwen3.6-35B-A3B-FP8,F36,11,0,0
Qwen3.6-35B-A3B-FP8,F36,12,0,0
Qwen3.6-35B-A3B-FP8,F36,13,0,0
Qwen3.6-35B-A3B-FP8,F37,0,1,1
Qwen3.6-35B-A3B-FP8,F37,1,0,0
Qwen3.6-35B-A3B-FP8,F37,2,0,0
Qwen3.6-35B-A3B-FP8,F37,3,1,1
Qwen3.6-35B-A3B-FP8,F37,4,1,1
Qwen3.6-35B-A3B-FP8,F37,5,1,1
Qwen3.6-35B-A3B-FP8,F37,6,0,0
Qwen3.6-35B-A3B-FP8,F37,7,0,0
Qwen3.6-35B-A3B-FP8,F37,8,0,0
Qwen3.6-35B-A3B-FP8,F37,9,0,0
Qwen3.6-35B-A3B-FP8,F37,10,0,0
Qwen3.6-35B-A3B-FP8,F37,11,0,0
Qwen3.6-35B-A3B-FP8,F38,0,1,1
Qwen3.6-35B-A3B-FP8,F38,1,1,1
Qwen3.6-35B-A3B-FP8,F38,2,0,1
Qwen3.6-35B-A3B-FP8,F38,3,1,1
Qwen3.6-35B-A3B-FP8,F38,4,1,1
Qwen3.6-35B-A3B-FP8,F38,5,0,0
Qwen3.6-35B-A3B-FP8,F38,6,1,1
Qwen3.6-35B-A3B-FP8,F38,7,1,1
Qwen3.6-35B-A3B-FP8,F38,8,0,0
Qwen3.6-35B-A3B-FP8,F38,9,0,0
Qwen3.6-35B-A3B-FP8,F38,10,0,0
Qwen3.6-35B-A3B-FP8,F38,11,0,0
Qwen3.6-35B-A3B-FP8,F39,0,1,1
Qwen3.6-35B-A3B-FP8,F39,1,1,1
Qwen3.6-35B-A3B-FP8,F39,2,1,1
Qwen3.6-35B-A3B-FP8,F39,3,1,1
Qwen3.6-35B-A3B-FP8,F39,4,1,1
Qwen3.6-35B-A3B-FP8,F39,5,1,1
Qwen3.6-35B-A3B-FP8,F39,6,1,1
Qwen3.6-35B-A3B-FP8,F39,7,1,1
