model,case_id,judge1,judge2,golden_rating
Qwen3.6-35B-A3B-FP8-Thinking,CR24,1,1,1
Qwen3.6-35B-A3B-FP8-Thinking,CR25,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR26,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR27,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR28,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR29,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR30,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR31,1,0,1
Qwen3.6-35B-A3B-FP8-Thinking,CR32,1,1,1
Qwen3.6-35B-A3B-FP8-Thinking,CR33,1,1,1
Qwen3.6-35B-A3B-FP8-Thinking,CR34,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR35,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR36,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR37,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR38,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR39,2,2,2
Qwen3.6-35B-A3B-FP8-Thinking,CR_R1,0,0,0
Qwen3.6-35B-A3B-FP8-Thinking,CR_R2,0,0,0
Qwen3.6-35B-A3B-FP8-Thinking,CR_R3,0,0,0
gemma-4-26b-a4b-it,CR1,2,2,2
gemma-4-26b-a4b-it,CR2,2,2,2
gemma-4-26b-a4b-it,CR3,2,2,2
gemma-4-26b-a4b-it,CR4,0,0,0
gemma-4-26b-a4b-it,CR5,0,0,0
gemma-4-26b-a4b-it,CR6,0,0,0
gemma-4-26b-a4b-it,CR7,1,1,1
gemma-4-26b-a4b-it,CR8,1,1,1
gemma-4-26b-a4b-it,CR9,1,1,1
gemma-4-26b-a4b-it,CR10,2,2,2
gemma-4-26b-a4b-it,CR11,2,2,2
gemma-4-26b-a4b-it,CR12,2,2,2
gemma-4-26b-a4b-it,CR13,0,0,0
gemma-4-26b-a4b-it,CR14,0,0,0
gemma-4-26b-a4b-it,CR15,0,0,0
gemma-4-26b-a4b-it,CR16,1,1,1
gemma-4-26b-a4b-it,CR17,1,1,1
gemma-4-26b-a4b-it,CR18,0,0,1
gemma-4-26b-a4b-it,CR19,2,2,2
gemma-4-26b-a4b-it,CR20,1,1,2
gemma-4-26b-a4b-it,CR21,2,2,2
gemma-4-26b-a4b-it,CR22,1,1,1
gemma-4-26b-a4b-it,CR23,1,0,1
gemma-4-26b-a4b-it,CR24,1,1,1
gemma-4-26b-a4b-it,CR25,2,2,2
gemma-4-26b-a4b-it,CR26,2,2,2
gemma-4-26b-a4b-it,CR27,2,2,2
gemma-4-26b-a4b-it,CR28,2,2,2
gemma-4-26b-a4b-it,CR29,2,2,2
gemma-4-26b-a4b-it,CR30,2,2,2
gemma-4-26b-a4b-it,CR31,1,1,1
gemma-4-26b-a4b-it,CR32,1,1,1
gemma-4-26b-a4b-it,CR33,1,1,1
gemma-4-26b-a4b-it,CR34,2,2,2
gemma-4-26b-a4b-it,CR35,2,2,2
gemma-4-26b-a4b-it,CR36,2,2,2
gemma-4-26b-a4b-it,CR37,2,2,2
gemma-4-26b-a4b-it,CR38,2,2,2
gemma-4-26b-a4b-it,CR39,2,2,2
gemma-4-26b-a4b-it,CR_R1,0,0,0
gemma-4-26b-a4b-it,CR_R2,0,0,0
gemma-4-26b-a4b-it,CR_R3,0,0,0
gemma-4-31b-it,CR1,2,2,2
gemma-4-31b-it,CR2,2,2,2
gemma-4-31b-it,CR3,2,2,2
gemma-4-31b-it,CR4,0,0,0
gemma-4-31b-it,CR5,0,0,0
gemma-4-31b-it,CR6,0,0,0
gemma-4-31b-it,CR7,1,1,1
gemma-4-31b-it,CR8,0,1,1
gemma-4-31b-it,CR9,1,1,1
gemma-4-31b-it,CR10,2,2,2
gemma-4-31b-it,CR11,2,2,2
gemma-4-31b-it,CR12,2,2,2
gemma-4-31b-it,CR13,0,0,0
gemma-4-31b-it,CR14,0,0,0
gemma-4-31b-it,CR15,0,0,0
gemma-4-31b-it,CR16,0,0,1
gemma-4-31b-it,CR17,1,0,1
gemma-4-31b-it,CR18,0,0,1
gemma-4-31b-it,CR19,2,2,2
gemma-4-31b-it,CR20,1,1,2
gemma-4-31b-it,CR21,2,2,2
gemma-4-31b-it,CR22,0,0,1
gemma-4-31b-it,CR23,1,1,1
gemma-4-31b-it,CR24,1,1,1
gemma-4-31b-it,CR25,2,2,2
gemma-4-31b-it,CR26,2,2,2
gemma-4-31b-it,CR27,2,2,2
gemma-4-31b-it,CR28,2,2,2
gemma-4-31b-it,CR29,2,2,2
gemma-4-31b-it,CR30,2,2,2
gemma-4-31b-it,CR31,0,0,1
gemma-4-31b-it,CR32,0,0,1
gemma-4-31b-it,CR33,1,1,1
gemma-4-31b-it,CR34,2,2,2
gemma-4-31b-it,CR35,2,2,2
gemma-4-31b-it,CR36,2,2,2
gemma-4-31b-it,CR37,2,2,2
gemma-4-31b-it,CR38,2,2,2
gemma-4-31b-it,CR39,2,2,2
gemma-4-31b-it,CR_R1,0,0,0
gemma-4-31b-it,CR_R2,0,0,0
gemma-4-31b-it,CR_R3,0,0,0
gemma-4-e2b-it,CR1,2,2,2
gemma-4-e2b-it,CR2,2,2,2
gemma-4-e2b-it,CR3,2,2,2
gemma-4-e2b-it,CR4,0,0,0
gemma-4-e2b-it,CR5,0,0,0
gemma-4-e2b-it,CR6,1,0,0
gemma-4-e2b-it,CR7,2,1,1
gemma-4-e2b-it,CR8,2,1,1
gemma-4-e2b-it,CR9,2,1,1
gemma-4-e2b-it,CR10,2,2,2
gemma-4-e2b-it,CR11,2,2,2
gemma-4-e2b-it,CR12,2,2,2
gemma-4-e2b-it,CR13,0,0,0
gemma-4-e2b-it,CR14,2,1,0
gemma-4-e2b-it,CR15,0,1,0
gemma-4-e2b-it,CR16,2,2,1
gemma-4-e2b-it,CR17,2,2,1
gemma-4-e2b-it,CR18,2,1,1
gemma-4-e2b-it,CR19,1,2,2
gemma-4-e2b-it,CR20,2,2,2
gemma-4-e2b-it,CR21,2,2,2
gemma-4-e2b-it,CR22,1,1,1
gemma-4-e2b-it,CR23,1,1,1
gemma-4-e2b-it,CR24,2,2,1
gemma-4-e2b-it,CR25,2,2,2
gemma-4-e2b-it,CR26,2,2,2
gemma-4-e2b-it,CR27,2,2,2
gemma-4-e2b-it,CR28,2,2,2
gemma-4-e2b-it,CR29,2,2,2
gemma-4-e2b-it,CR30,2,2,2
gemma-4-e2b-it,CR31,2,2,1
gemma-4-e2b-it,CR32,1,2,1
gemma-4-e2b-it,CR33,1,2,1
gemma-4-e2b-it,CR34,2,2,2
gemma-4-e2b-it,CR35,2,2,2
gemma-4-e2b-it,CR36,2,2,2
gemma-4-e2b-it,CR37,2,2,2
gemma-4-e2b-it,CR38,2,2,2
gemma-4-e2b-it,CR39,2,2,2
gemma-4-e2b-it,CR_R1,0,1,0
gemma-4-e2b-it,CR_R2,0,1,0
gemma-4-e2b-it,CR_R3,0,1,0
gpt-4.1-mini,CR1,2,2,2
gpt-4.1-mini,CR2,2,2,2
gpt-4.1-mini,CR3,2,2,2
gpt-4.1-mini,CR4,0,0,0
gpt-4.1-mini,CR5,0,0,0
gpt-4.1-mini,CR6,0,0,0
gpt-4.1-mini,CR7,0,1,1
gpt-4.1-mini,CR8,1,1,1
gpt-4.1-mini,CR9,1,2,1
gpt-4.1-mini,CR10,2,2,2
gpt-4.1-mini,CR11,2,2,2
gpt-4.1-mini,CR12,2,2,2
gpt-4.1-mini,CR13,0,0,0
gpt-4.1-mini,CR14,0,0,0
gpt-4.1-mini,CR15,0,0,0
gpt-4.1-mini,CR16,1,1,1
gpt-4.1-mini,CR17,2,1,1
gpt-4.1-mini,CR18,1,0,1
gpt-4.1-mini,CR19,2,2,2
gpt-4.1-mini,CR20,1,1,2
gpt-4.1-mini,CR21,2,2,2
gpt-4.1-mini,CR22,1,0,1
gpt-4.1-mini,CR23,1,1,1
gpt-4.1-mini,CR24,2,2,1
gpt-4.1-mini,CR25,2,2,2
gpt-4.1-mini,CR26,2,2,2
gpt-4.1-mini,CR27,2,2,2
gpt-4.1-mini,CR28,2,2,2
gpt-4.1-mini,CR29,2,2,2
gpt-4.1-mini,CR30,2,2,2
gpt-4.1-mini,CR31,1,1,1
gpt-4.1-mini,CR32,1,1,1
gpt-4.1-mini,CR33,1,1,1
gpt-4.1-mini,CR34,2,2,2
gpt-4.1-mini,CR35,2,2,2
gpt-4.1-mini,CR36,2,2,2
gpt-4.1-mini,CR37,2,2,2
gpt-4.1-mini,CR38,2,2,2
gpt-4.1-mini,CR39,2,2,2
gpt-4.1-mini,CR_R1,0,1,0
gpt-4.1-mini,CR_R2,0,0,0
gpt-4.1-mini,CR_R3,0,0,0
qwen35-2b,CR1,2,2,2
qwen35-2b,CR2,2,2,2
qwen35-2b,CR3,2,2,2
qwen35-2b,CR4,0,0,0
qwen35-2b,CR5,0,0,0
qwen35-2b,CR6,0,0,0
qwen35-2b,CR7,2,2,1
qwen35-2b,CR8,1,2,1
qwen35-2b,CR9,1,0,1
qwen35-2b,CR10,1,1,2
qwen35-2b,CR11,2,2,2
qwen35-2b,CR12,2,2,2
qwen35-2b,CR13,0,0,0
qwen35-2b,CR14,1,1,0
qwen35-2b,CR15,0,0,0
qwen35-2b,CR16,1,2,1
qwen35-2b,CR17,1,2,1
qwen35-2b,CR18,1,0,1
qwen35-2b,CR19,1,2,2
qwen35-2b,CR20,2,2,2
qwen35-2b,CR21,1,1,2
qwen35-2b,CR22,0,0,1
qwen35-2b,CR23,0,0,1
qwen35-2b,CR24,2,2,1
qwen35-2b,CR25,2,2,2
qwen35-2b,CR26,1,1,2
qwen35-2b,CR27,2,2,2
qwen35-2b,CR28,2,2,2
qwen35-2b,CR29,0,1,2
qwen35-2b,CR30,2,2,2
qwen35-2b,CR31,1,1,1
qwen35-2b,CR32,1,1,1
qwen35-2b,CR33,1,2,1
qwen35-2b,CR34,1,2,2
qwen35-2b,CR35,2,2,2
qwen35-2b,CR36,2,2,2
qwen35-2b,CR37,1,1,2
qwen35-2b,CR38,1,1,2
qwen35-2b,CR39,1,1,2
qwen35-2b,CR_R1,0,0,0
qwen35-2b,CR_R2,0,0,0
qwen35-2b,CR_R3,0,0,0
