model,case_id,judge1,judge2,golden_rating
gemma-4-31b-it,RG39,0,0,0
gemma-4-31b-it,RG40,0,0,0
gemma-4-31b-it,RG41,0,0,0
gemma-4-31b-it,RG42,0,1,0
gemma-4-31b-it,RG43,0,0,0
gemma-4-31b-it,RG44,0,0,0
gemma-4-31b-it,RG45,2,2,2
gemma-4-31b-it,RG46,2,2,2
gemma-4-31b-it,RG47,2,2,2
gemma-4-e2b-it,RG1,0,0,0
gemma-4-e2b-it,RG2,2,0,0
gemma-4-e2b-it,RG3,0,0,0
gemma-4-e2b-it,RG4,0,0,0
gemma-4-e2b-it,RG5,0,0,0
gemma-4-e2b-it,RG6,2,1,0
gemma-4-e2b-it,RG7,2,2,2
gemma-4-e2b-it,RG8,2,2,2
gemma-4-e2b-it,RG9,2,2,2
gemma-4-e2b-it,RG10,2,1,0
gemma-4-e2b-it,RG11,1,1,0
gemma-4-e2b-it,RG12,2,0,0
gemma-4-e2b-it,RG13,0,2,2
gemma-4-e2b-it,RG14,2,0,2
gemma-4-e2b-it,RG15,0,2,2
gemma-4-e2b-it,RG16,1,1,1
gemma-4-e2b-it,RG17,2,2,1
gemma-4-e2b-it,RG18,1,2,1
gemma-4-e2b-it,RG19,1,1,1
gemma-4-e2b-it,RG20,1,1,1
gemma-4-e2b-it,RG21,2,2,1
gemma-4-e2b-it,RG22,2,2,2
gemma-4-e2b-it,RG23,2,2,2
gemma-4-e2b-it,RG24,2,2,2
gemma-4-e2b-it,RG25,2,2,1
gemma-4-e2b-it,RG26,2,2,1
gemma-4-e2b-it,RG27,2,2,1
gemma-4-e2b-it,RG28,2,2,1
gemma-4-e2b-it,RG29,2,2,1
gemma-4-e2b-it,RG30,2,1,1
gemma-4-e2b-it,RG31,2,2,1
gemma-4-e2b-it,RG32,2,1,1
gemma-4-e2b-it,RG33,2,1,1
gemma-4-e2b-it,RG34,2,2,1
gemma-4-e2b-it,RG35,2,2,1
gemma-4-e2b-it,RG36,2,2,1
gemma-4-e2b-it,RG37,1,2,1
gemma-4-e2b-it,RG38,2,2,1
gemma-4-e2b-it,RG39,0,0,0
gemma-4-e2b-it,RG40,0,0,0
gemma-4-e2b-it,RG41,0,0,0
gemma-4-e2b-it,RG42,0,2,0
gemma-4-e2b-it,RG43,0,0,0
gemma-4-e2b-it,RG44,0,0,0
gemma-4-e2b-it,RG45,0,0,2
gemma-4-e2b-it,RG46,2,0,2
gemma-4-e2b-it,RG47,0,0,2
gpt-4.1-mini,RG1,0,0,0
gpt-4.1-mini,RG2,0,0,0
gpt-4.1-mini,RG3,0,0,0
gpt-4.1-mini,RG4,0,0,0
gpt-4.1-mini,RG5,0,0,0
gpt-4.1-mini,RG6,0,0,0
gpt-4.1-mini,RG7,2,2,2
gpt-4.1-mini,RG8,2,2,2
gpt-4.1-mini,RG9,2,2,2
gpt-4.1-mini,RG10,2,2,0
gpt-4.1-mini,RG11,2,1,0
gpt-4.1-mini,RG12,2,2,0
gpt-4.1-mini,RG13,2,2,2
gpt-4.1-mini,RG14,0,2,2
gpt-4.1-mini,RG15,2,2,2
gpt-4.1-mini,RG16,1,1,1
gpt-4.1-mini,RG17,1,1,1
gpt-4.1-mini,RG18,1,1,1
gpt-4.1-mini,RG19,1,1,1
gpt-4.1-mini,RG20,1,1,1
gpt-4.1-mini,RG21,1,1,1
gpt-4.1-mini,RG22,2,2,2
gpt-4.1-mini,RG23,2,2,2
gpt-4.1-mini,RG24,2,2,2
gpt-4.1-mini,RG25,1,1,1
gpt-4.1-mini,RG26,2,1,1
gpt-4.1-mini,RG27,1,1,1
gpt-4.1-mini,RG28,2,2,1
gpt-4.1-mini,RG29,1,1,1
gpt-4.1-mini,RG30,1,1,1
gpt-4.1-mini,RG31,2,2,1
gpt-4.1-mini,RG32,2,1,1
gpt-4.1-mini,RG33,1,2,1
gpt-4.1-mini,RG34,0,1,1
gpt-4.1-mini,RG35,2,2,1
gpt-4.1-mini,RG36,2,2,1
gpt-4.1-mini,RG37,2,2,1
gpt-4.1-mini,RG38,2,2,1
gpt-4.1-mini,RG39,0,0,0
gpt-4.1-mini,RG40,0,0,0
gpt-4.1-mini,RG41,0,0,0
gpt-4.1-mini,RG42,2,2,0
gpt-4.1-mini,RG43,2,2,0
gpt-4.1-mini,RG44,0,0,0
gpt-4.1-mini,RG45,2,2,2
gpt-4.1-mini,RG46,2,2,2
gpt-4.1-mini,RG47,2,2,2
qwen35-2b,RG1,0,1,0
qwen35-2b,RG2,2,2,0
qwen35-2b,RG3,0,1,0
qwen35-2b,RG4,0,0,0
qwen35-2b,RG5,1,1,0
qwen35-2b,RG6,1,1,0
qwen35-2b,RG7,2,2,2
qwen35-2b,RG8,2,2,2
qwen35-2b,RG9,2,2,2
qwen35-2b,RG10,1,0,0
qwen35-2b,RG11,1,1,0
qwen35-2b,RG12,2,0,0
qwen35-2b,RG13,0,0,2
qwen35-2b,RG14,1,1,2
qwen35-2b,RG15,0,0,2
qwen35-2b,RG16,2,2,1
qwen35-2b,RG17,1,2,1
qwen35-2b,RG18,2,2,1
qwen35-2b,RG19,1,1,1
qwen35-2b,RG20,2,2,1
qwen35-2b,RG21,2,2,1
qwen35-2b,RG22,2,2,2
qwen35-2b,RG23,2,2,2
qwen35-2b,RG24,2,2,2
qwen35-2b,RG25,1,2,1
qwen35-2b,RG26,2,2,1
qwen35-2b,RG27,2,2,1
qwen35-2b,RG28,2,2,1
qwen35-2b,RG29,2,2,1
qwen35-2b,RG30,1,2,1
qwen35-2b,RG31,2,2,1
qwen35-2b,RG32,2,2,1
qwen35-2b,RG33,2,2,1
qwen35-2b,RG34,1,2,1
qwen35-2b,RG35,2,2,1
qwen35-2b,RG36,2,2,1
qwen35-2b,RG37,2,2,1
qwen35-2b,RG38,2,2,1
qwen35-2b,RG39,0,2,0
qwen35-2b,RG40,0,0,0
qwen35-2b,RG41,0,2,0
qwen35-2b,RG42,0,0,0
qwen35-2b,RG43,0,0,0
qwen35-2b,RG44,0,2,0
qwen35-2b,RG45,0,0,2
qwen35-2b,RG46,0,2,2
qwen35-2b,RG47,0,0,2
